open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
96.89,98.5,95.8,98.14,20694100.0,300308.SZ,20231123,中际旭创,NA,CNY
97.31,97.77,93.86,94.4,20077300.0,300308.SZ,20231124,中际旭创,NA,CNY
94.01,99.17,94.0,97.88,27819000.0,300308.SZ,20231127,中际旭创,NA,CNY
96.5,97.09,94.06,94.75,16103100.0,300308.SZ,20231128,中际旭创,NA,CNY
94.92,95.8,93.45,94.74,15955000.0,300308.SZ,20231129,中际旭创,NA,CNY
94.1,95.35,93.58,94.92,15167600.0,300308.SZ,20231130,中际旭创,NA,CNY
94.89,101.54,93.14,100.0,41044600.0,300308.SZ,20231201,中际旭创,NA,CNY
100.52,105.0,100.1,102.78,35437600.0,300308.SZ,20231204,中际旭创,NA,CNY
101.88,103.99,100.51,100.8,27060700.0,300308.SZ,20231205,中际旭创,NA,CNY
100.0,101.5,98.8,100.68,17717600.0,300308.SZ,20231206,中际旭创,NA,CNY
102.6,105.5,100.22,104.37,32380600.0,300308.SZ,20231207,中际旭创,NA,CNY
107.86,119.9,106.03,117.5,62843800.0,300308.SZ,20231208,中际旭创,NA,CNY
117.24,121.0,114.22,120.15,44329000.0,300308.SZ,20231211,中际旭创,NA,CNY
120.12,121.5,112.0,114.96,43834300.0,300308.SZ,20231212,中际旭创,NA,CNY
114.15,115.99,113.13,113.4,20526400.0,300308.SZ,20231213,中际旭创,NA,CNY
115.0,116.88,112.1,112.81,23896200.0,300308.SZ,20231214,中际旭创,NA,CNY
113.38,114.3,108.56,110.05,20130300.0,300308.SZ,20231215,中际旭创,NA,CNY
109.12,115.5,108.51,113.39,27400000.0,300308.SZ,20231218,中际旭创,NA,CNY
114.13,114.89,109.99,113.19,19986800.0,300308.SZ,20231219,中际旭创,NA,CNY
113.2,113.56,107.55,109.3,23889800.0,300308.SZ,20231220,中际旭创,NA,CNY
108.21,117.9,107.44,114.19,29879800.0,300308.SZ,20231221,中际旭创,NA,CNY
112.68,114.66,109.38,110.39,23863500.0,300308.SZ,20231222,中际旭创,NA,CNY
111.11,113.28,107.68,111.25,15221000.0,300308.SZ,20231225,中际旭创,NA,CNY
110.59,111.38,105.61,106.96,19558400.0,300308.SZ,20231226,中际旭创,NA,CNY
107.58,109.01,106.61,107.13,13351000.0,300308.SZ,20231227,中际旭创,NA,CNY
106.88,110.2,106.4,109.01,19907800.0,300308.SZ,20231228,中际旭创,NA,CNY
109.11,115.93,109.08,112.91,24104700.0,300308.SZ,20231229,中际旭创,NA,CNY
112.85,114.78,110.53,110.61,14791000.0,300308.SZ,20240102,中际旭创,NA,CNY
109.11,109.99,104.89,104.99,22108600.0,300308.SZ,20240103,中际旭创,NA,CNY
104.7,105.67,102.36,104.0,16650700.0,300308.SZ,20240104,中际旭创,NA,CNY
103.62,104.5,99.2,100.03,17552000.0,300308.SZ,20240105,中际旭创,NA,CNY
99.8,101.11,97.82,98.8,13263000.0,300308.SZ,20240108,中际旭创,NA,CNY
101.78,103.53,100.5,101.32,20001000.0,300308.SZ,20240109,中际旭创,NA,CNY
101.33,102.71,98.3,100.0,13860200.0,300308.SZ,20240110,中际旭创,NA,CNY
100.0,104.48,99.91,103.39,19289700.0,300308.SZ,20240111,中际旭创,NA,CNY
102.63,102.98,99.56,100.56,13842000.0,300308.SZ,20240112,中际旭创,NA,CNY
99.36,103.6,99.36,101.88,12647600.0,300308.SZ,20240115,中际旭创,NA,CNY
100.89,101.26,98.4,100.29,16902500.0,300308.SZ,20240116,中际旭创,NA,CNY
100.66,102.84,99.02,99.02,19193100.0,300308.SZ,20240117,中际旭创,NA,CNY
97.04,109.95,96.83,109.83,37099700.0,300308.SZ,20240118,中际旭创,NA,CNY
112.3,113.58,110.39,111.0,31897300.0,300308.SZ,20240119,中际旭创,NA,CNY
116.0,116.5,110.99,111.6,32714900.0,300308.SZ,20240122,中际旭创,NA,CNY
111.99,117.26,110.84,114.0,29756900.0,300308.SZ,20240123,中际旭创,NA,CNY
113.65,114.18,108.98,113.7,26955200.0,300308.SZ,20240124,中际旭创,NA,CNY
112.48,119.2,111.42,118.35,29700900.0,300308.SZ,20240125,中际旭创,NA,CNY
117.99,118.0,113.8,115.96,23214900.0,300308.SZ,20240126,中际旭创,NA,CNY
113.65,113.65,96.7,103.82,42655800.0,300308.SZ,20240129,中际旭创,NA,CNY
103.0,105.8,100.73,101.2,21396800.0,300308.SZ,20240130,中际旭创,NA,CNY
100.02,107.89,98.75,102.8,28299400.0,300308.SZ,20240131,中际旭创,NA,CNY
103.79,116.0,101.55,111.05,35111500.0,300308.SZ,20240201,中际旭创,NA,CNY
111.88,113.88,107.7,109.85,27957800.0,300308.SZ,20240202,中际旭创,NA,CNY
108.0,117.43,107.87,112.0,36554700.0,300308.SZ,20240205,中际旭创,NA,CNY
110.66,124.88,109.8,124.88,35496800.0,300308.SZ,20240206,中际旭创,NA,CNY
123.1,125.99,121.59,124.61,27058000.0,300308.SZ,20240207,中际旭创,NA,CNY
127.5,137.0,124.8,127.0,35591800.0,300308.SZ,20240208,中际旭创,NA,CNY
138.0,152.4,133.86,152.4,41589100.0,300308.SZ,20240219,中际旭创,NA,CNY
153.0,162.99,151.0,159.5,44837200.0,300308.SZ,20240220,中际旭创,NA,CNY
152.0,154.03,147.3,149.96,45141600.0,300308.SZ,20240221,中际旭创,NA,CNY
158.05,159.64,149.47,154.51,41951400.0,300308.SZ,20240222,中际旭创,NA,CNY
160.0,161.0,147.05,147.73,49034100.0,300308.SZ,20240223,中际旭创,NA,CNY
142.03,151.41,142.03,149.03,33292600.0,300308.SZ,20240226,中际旭创,NA,CNY
147.46,164.7,146.02,161.94,45132200.0,300308.SZ,20240227,中际旭创,NA,CNY
161.0,162.9,149.81,149.81,40110600.0,300308.SZ,20240228,中际旭创,NA,CNY
153.0,158.8,151.0,155.16,36809300.0,300308.SZ,20240229,中际旭创,NA,CNY
156.03,163.52,156.03,161.1,37820600.0,300308.SZ,20240301,中际旭创,NA,CNY
166.11,170.66,160.11,165.66,40503400.0,300308.SZ,20240304,中际旭创,NA,CNY
163.3,179.9,162.62,169.16,46923400.0,300308.SZ,20240305,中际旭创,NA,CNY
167.0,170.2,162.84,167.28,30407900.0,300308.SZ,20240306,中际旭创,NA,CNY
170.0,174.77,164.0,164.14,30368900.0,300308.SZ,20240307,中际旭创,NA,CNY
168.87,176.93,164.65,174.99,36453700.0,300308.SZ,20240308,中际旭创,NA,CNY
167.03,170.97,164.28,170.6,34161700.0,300308.SZ,20240311,中际旭创,NA,CNY
169.8,171.59,159.77,164.85,36190400.0,300308.SZ,20240312,中际旭创,NA,CNY
171.41,171.88,164.89,165.0,31768300.0,300308.SZ,20240313,中际旭创,NA,CNY
162.0,172.0,162.0,169.53,31101600.0,300308.SZ,20240314,中际旭创,NA,CNY
167.0,180.4,165.59,177.36,38974200.0,300308.SZ,20240315,中际旭创,NA,CNY
178.75,186.08,177.59,179.99,32993500.0,300308.SZ,20240318,中际旭创,NA,CNY
173.31,176.65,171.45,173.81,33277200.0,300308.SZ,20240319,中际旭创,NA,CNY
172.0,175.66,166.0,168.96,32157900.0,300308.SZ,20240320,中际旭创,NA,CNY
169.24,172.66,166.33,167.68,25327200.0,300308.SZ,20240321,中际旭创,NA,CNY
168.0,170.52,166.36,167.68,22615300.0,300308.SZ,20240322,中际旭创,NA,CNY
167.96,171.88,164.0,166.51,22335600.0,300308.SZ,20240325,中际旭创,NA,CNY
165.51,172.78,150.0,158.5,46524600.0,300308.SZ,20240326,中际旭创,NA,CNY
160.78,161.97,152.76,154.2,29085600.0,300308.SZ,20240327,中际旭创,NA,CNY
155.01,159.88,151.13,154.69,26330800.0,300308.SZ,20240328,中际旭创,NA,CNY
153.1,157.0,151.85,156.56,16722000.0,300308.SZ,20240329,中际旭创,NA,CNY
157.79,163.88,155.77,163.0,21793100.0,300308.SZ,20240401,中际旭创,NA,CNY
162.0,166.0,160.03,162.55,19455600.0,300308.SZ,20240402,中际旭创,NA,CNY
159.0,160.55,155.63,156.1,16630400.0,300308.SZ,20240403,中际旭创,NA,CNY
155.6,169.3,155.6,164.56,25924300.0,300308.SZ,20240408,中际旭创,NA,CNY
164.0,165.98,160.23,164.9,17038300.0,300308.SZ,20240409,中际旭创,NA,CNY
162.27,164.88,157.0,159.5,16849000.0,300308.SZ,20240410,中际旭创,NA,CNY
161.0,164.58,159.79,160.15,14886200.0,300308.SZ,20240411,中际旭创,NA,CNY
164.0,174.3,163.5,169.33,30735000.0,300308.SZ,20240412,中际旭创,NA,CNY
167.79,172.54,166.56,169.5,17939500.0,300308.SZ,20240415,中际旭创,NA,CNY
167.3,172.5,163.05,166.36,18793500.0,300308.SZ,20240416,中际旭创,NA,CNY
168.33,176.05,166.0,174.61,21453500.0,300308.SZ,20240417,中际旭创,NA,CNY
170.66,176.3,168.2,173.38,16413500.0,300308.SZ,20240418,中际旭创,NA,CNY
172.15,175.24,163.9,170.7,21452800.0,300308.SZ,20240419,中际旭创,NA,CNY
155.0,159.99,150.88,158.36,34918200.0,300308.SZ,20240422,中际旭创,NA,CNY
158.97,161.86,154.47,157.51,24066700.0,300308.SZ,20240423,中际旭创,NA,CNY
159.77,169.0,157.86,168.27,27610700.0,300308.SZ,20240424,中际旭创,NA,CNY
164.9,167.83,163.28,164.15,16671800.0,300308.SZ,20240425,中际旭创,NA,CNY
170.99,187.98,170.6,184.86,40657800.0,300308.SZ,20240426,中际旭创,NA,CNY
187.96,190.0,185.52,187.7,24975900.0,300308.SZ,20240429,中际旭创,NA,CNY
187.5,192.88,186.1,186.31,16590100.0,300308.SZ,20240430,中际旭创,NA,CNY
191.0,192.61,182.85,183.22,19870100.0,300308.SZ,20240506,中际旭创,NA,CNY
187.78,188.72,172.1,176.79,30864400.0,300308.SZ,20240507,中际旭创,NA,CNY
